municipio_input,populacao_input,municipio_ibge,uf,regiao,id_ibge,status
Niteroi,515317,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
"Sao Gonçalo",1091737,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
"Sao Paulo",12396372,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
"Belo Horzionte",2530701,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
Florianopolis,516524,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
"Santo Andre",723889,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
"Santoo Andre",700000,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
"Rio de Janeiro",6718903,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
Curitba,1963726,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
Brasilia,3094325,"Alta Floresta D'Oeste",RO,Norte,1100015,OK
